88.009995,415.44998,DPPE,1947
131.85,363.94,DPPC,1948
569.68,211.92,POPS,1949
535.5,540.06,POPC,1950
52.379997,426.09003,DXSM,1951
40.62,270.57,DPSM,1952
483.2,391.58002,POPC,1953
149.09,435.02,DPPC,1954
64.71,165.26,PAPS,1955
567.65,387.72,DPSM,1956
69.71,108.63,POPC,1957
241.73001,493.25,PIPC,1958
349.23,547.48,PAPS,1959
172.93,47.74,PIPE,1960
335.57,240.39,DPPE,1961
160.72,345.12,POPC,1962
74.82,425.76,DPPC,1963
519.18,6.9700003,POPE,1964
216.04999,266.6,PAPC,1965
514.32,503.11002,DPSM,1966
403.12,20.68,PIPC,1967
118.649994,428.65002,DPPE,1968
247.78,147.34999,DPPC,1969
527.66,225.48001,DPPE,1970
404.12,379.66,PIPE,1971
318.09,510.68,PIPC,1972
124.119995,459.05,PIPC,1973
179.69,520.80005,POPC,1974
348.00998,554.19995,DBSM,1975
18.16,441.95,POPE,1976
334.66998,182.72,POPC,1977
510.11002,245.84999,DOPE,1978
302.31,368.61,DOPE,1979
57.329998,85.97,PIPC,1980
215.12,160.87999,DPSM,1981
92.98,434.38998,DPPE,1982
221.32,251.97,POPE,1983
13.509999,109.2,DPPC,1984
380.75,396.65002,DPPE,1985
83.4,261.88998,POPS,1986
244.65,246.45001,POPE,1987
230.56,393.77,DPSM,1988
466.03,301.81,DBSM,1989
89.98,367.41,DBSM,1990
400.36,164.62999,POPC,1991
113.89,62.49,DPPC,1992
76.85,534.62,POPS,1993
102.67,328.15,PAPC,1994
308.57,416.45,PIPC,1995
476.03,211.36,DPPC,1996
220.70999,507.46,DLPE,1997
272.62,253.82999,POPC,1998
146.66,108.590004,PAPC,1999
122.939995,310.91,PAPC,2000
488.31,421.38,POPC,2001
417.33002,183.11002,POPC,2002
478.6,351.73,DAPE,2003
170.66,551.92004,DPSM,2004
76.12,193.12,PIPC,2005
126.28,257.35,POPS,2006
263.41998,295.81,DBSM,2007
533.49,358.81,POPC,2008
494.25998,12.33,DLPE,2009
225.84999,489.38,DPPC,2010
525.0,266.78,DPPC,2011
55.4,327.46,DPPE,2012
0.35999998,106.590004,DPPC,2013
37.379997,283.13,DPPE,2014
164.95001,225.62,PIPC,2015
379.96,268.34998,DPPE,2016
80.29,299.65,POPS,2017
99.06,217.26,DPPE,2018
179.03,52.05,DPSM,2019
503.44,524.06,PIPC,2020
118.990005,408.91998,PIPE,2021
245.62,294.02002,DPSM,2022
