,X,Y,Lipid Type,resid,Order
109,276.31,264.92377,DOPC,2110,DOPC CHOL
110,324.94153,388.93658,DOPC,2111,Ordered
111,60.873523999999996,518.72595,DOPC,2112,DOPC CHOL
112,274.25455,382.81952,DOPC,2113,DOPC CHOL
113,294.30438,483.91956,DOPC,2114,Ordered
114,428.27063,182.7752,DOPC,2115,Ordered
115,379.2229,343.5506,DOPC,2116,DOPC CHOL
116,175.10504,400.05316,DOPC,2117,DOPC CHOL
117,91.162865,302.36005,DOPC,2118,DOPC CHOL
118,381.05316,378.87282999999996,DOPC,2119,DOPC CHOL
119,520.49115,108.09503000000001,DOPC,2120,Ordered
120,409.77707000000004,331.74084,DOPC,2121,DOPC CHOL
121,361.00237999999996,348.0625,DOPC,2122,DOPC CHOL
122,17.136851999999998,56.336884,DOPC,2123,Ordered
123,430.4634,2.9832252999999995,DOPC,2124,DOPC CHOL
124,82.9066,417.6407,DOPC,2125,DOPC CHOL
125,266.81763,453.6523,DOPC,2126,Ordered
126,83.02733,68.33242,DOPC,2127,DOPC CHOL
127,509.24274,289.5678,DOPC,2128,DOPC CHOL
128,79.16577,376.34112999999996,DOPC,2129,DOPC CHOL
129,513.24854,427.958,DOPC,2130,DOPC CHOL
130,291.74417,252.34582999999998,DOPC,2131,DOPC CHOL
131,407.65753,415.4754,DOPC,2132,DOPC CHOL
132,9.182224,415.71927,DOPC,2133,DOPC CHOL
133,244.61382999999998,215.24521000000001,DOPC,2134,DOPC CHOL
134,450.50735,502.0975,DOPC,2135,Ordered
135,508.52313,55.694846999999996,DOPC,2136,DOPC CHOL
136,355.53937,289.2847,DOPC,2137,DOPC CHOL
137,54.735831999999995,275.97375,DOPC,2138,DOPC CHOL
138,186.26077,537.2054400000001,DOPC,2139,DOPC CHOL
139,53.990230000000004,417.32498,DOPC,2140,DOPC CHOL
140,451.07327000000004,496.61304,DOPC,2141,Ordered
141,177.27863,48.212322,DOPC,2142,DOPC CHOL
142,160.30032,174.44307,DOPC,2143,Ordered
143,15.468856,334.06265,DOPC,2144,DOPC CHOL
144,387.92282,535.7059,DOPC,2145,Ordered
145,249.32622999999998,198.51633,DOPC,2146,Ordered
146,489.33295,138.49702,DOPC,2147,Ordered
147,160.38695,355.72283999999996,DOPC,2148,DOPC CHOL
148,39.030066999999995,403.89328,DOPC,2149,DOPC CHOL
149,531.6968400000001,2.544,DOPC,2150,DOPC CHOL
150,150.64386000000002,288.4377,DOPC,2151,DOPC CHOL
151,241.375,265.13245,DOPC,2152,DOPC CHOL
152,129.33713,256.02747,DOPC,2153,DOPC CHOL
153,535.7485,189.29963999999998,DOPC,2154,Ordered
154,491.11935,523.8443599999999,DOPC,2155,Ordered
155,336.3553,101.50314,DOPC,2156,Ordered
156,340.07236,465.84802,DOPC,2157,DOPC CHOL
157,381.81735,289.57196,DOPC,2158,DOPC CHOL
158,536.92926,271.23196,DOPC,2159,DOPC CHOL
159,363.72797,77.44979000000001,DOPC,2160,Ordered
160,56.776485,229.90477,DOPC,2161,DOPC CHOL
161,222.64621,67.47215,DOPC,2162,Ordered
162,42.306942,305.25622999999996,DOPC,2163,DOPC CHOL
163,474.8022,458.82434000000006,DOPC,2164,DOPC CHOL
164,139.75017,262.8855,DOPC,2165,DOPC CHOL
165,326.59362999999996,493.3305,DOPC,2166,Ordered
166,265.50183,71.83564,DOPC,2167,Ordered
167,77.46036,453.28534,DOPC,2168,DOPC CHOL
168,121.79535,263.05618,DOPC,2169,DOPC CHOL
169,313.90927,140.8503,DOPC,2170,Ordered
170,105.829475,241.16025,DOPC,2171,DOPC CHOL
171,60.780986999999996,317.87127999999996,DOPC,2172,DOPC CHOL
172,148.11555,75.46956,DOPC,2173,Ordered
173,495.89078,54.413999999999994,DOPC,2174,DOPC CHOL
174,314.64062,135.9096,DOPC,2175,DOPC CHOL
175,368.13077000000004,324.61185,DOPC,2176,DOPC CHOL
176,369.028,338.95392000000004,DOPC,2177,DOPC CHOL
177,254.49712999999997,499.75662,DOPC,2178,DOPC CHOL
178,269.88467,368.99408,DOPC,2179,DOPC CHOL
179,518.4925,383.08477999999997,DOPC,2180,DOPC CHOL
180,276.60245,392.92792000000003,DOPC,2181,DOPC CHOL
181,156.91345,95.16319,DOPC,2182,DOPC CHOL
182,224.64643999999998,406.1147,DOPC,2183,DOPC CHOL
183,481.4065,81.64125,DOPC,2184,Ordered
184,218.53506000000002,187.42001000000002,DOPC,2185,Ordered
185,248.07553,78.01465,DOPC,2186,Ordered
186,436.51434000000006,466.6706,DOPC,2187,DOPC CHOL
187,322.22827,529.49335,DOPC,2188,DOPC CHOL
188,390.39914,2.0626643,DOPC,2189,Ordered
189,77.77328,24.17836,DOPC,2190,Ordered
190,6.193452,334.38602000000003,DOPC,2191,DOPC CHOL
191,144.61526,281.07852,DOPC,2192,DOPC CHOL
192,78.98248000000001,387.72232,DOPC,2193,DOPC CHOL
193,26.306915000000004,323.08362,DOPC,2194,DOPC CHOL
194,311.08926,333.89867999999996,DOPC,2195,DOPC CHOL
195,5.52075,443.21625,DOPC,2196,DOPC CHOL
196,70.04466,69.67234,DOPC,2197,Ordered
197,40.051838000000004,8.754402,DOPC,2198,Ordered
198,363.56104,61.824898,DOPC,2199,Ordered
199,186.16415,73.90320600000001,DOPC,2200,DOPC CHOL
200,45.113335,78.25441,DOPC,2201,Ordered
201,36.241386,418.95383,DOPC,2202,DOPC CHOL
202,167.04185,386.1021,DOPC,2203,DOPC CHOL
203,225.32807999999997,250.00487999999999,DOPC,2204,DOPC CHOL
204,474.8723,418.8512,DOPC,2205,DOPC CHOL
205,401.48026,426.94257000000005,DOPC,2206,DOPC CHOL
206,78.685,359.22375,DOPC,2207,DOPC CHOL
207,541.1124,236.24422,DOPC,2208,DOPC CHOL
208,494.42425999999995,220.67696,DOPC,2209,DOPC CHOL
209,33.98551,325.6164,DOPC,2210,DOPC CHOL
210,302.5374,419.70905,DOPC,2211,DOPC CHOL
211,156.00056,340.44354,DOPC,2212,DOPC CHOL
212,389.62518,406.2296,DOPC,2213,DOPC CHOL
213,13.399425500000001,63.000873999999996,DOPC,2214,Ordered
214,165.82843,198.33952,DOPC,2215,DOPC CHOL
215,207.6477,256.70267,DOPC,2216,DOPC CHOL
216,442.92188,282.10834,DOPC,2217,DOPC CHOL
217,100.41984000000001,344.2955,DOPC,2218,DOPC CHOL
218,273.2646,299.51068,DOPC,2219,DOPC CHOL
219,158.26537,222.47101,DOPC,2220,DOPC CHOL
220,369.63135,207.98975,DOPC,2221,DOPC CHOL
221,197.74099999999999,199.53845,DOPC,2222,DOPC CHOL
222,161.714,41.024048,DOPC,2223,Ordered
223,348.76498,67.877625,DOPC,2224,DOPC CHOL
224,397.99957,30.128876,DOPC,2225,Ordered
225,148.2814,340.93002,DOPC,2226,DOPC CHOL
226,83.168915,534.90674,DOPC,2227,Ordered
227,248.68231,322.16754,DOPC,2228,DOPC CHOL
228,86.25451,75.13726,DOPC,2229,Ordered
229,482.65308,109.28976399999999,DOPC,2230,Ordered
230,521.2217,406.53162000000003,DOPC,2231,DOPC CHOL
231,36.229893,79.46540999999999,DOPC,2232,Ordered
232,444.61847,243.86961000000002,DOPC,2233,DOPC CHOL
233,122.39388999999998,363.7061,DOPC,2234,DOPC CHOL
234,516.18585,534.12415,DOPC,2235,Ordered
235,270.00696,321.7074,DOPC,2236,DOPC CHOL
236,205.61324,7.192483,DOPC,2237,Ordered
237,180.28635,417.57388,DOPC,2238,DOPC CHOL
238,108.45253000000001,441.4179,DOPC,2239,DOPC CHOL
239,152.83446,82.97659,DOPC,2240,Ordered
240,308.7846,388.16095,DOPC,2241,DOPC CHOL
241,74.37366999999999,254.86198,DOPC,2242,DOPC CHOL
242,49.900738,196.02852,DOPC,2243,DOPC CHOL
243,90.99209,519.1932,DOPC,2244,DOPC CHOL
244,469.92492999999996,396.77227999999997,DOPC,2245,Ordered
245,36.25034,302.54712,DOPC,2246,DOPC CHOL
246,461.07955999999996,348.477,DOPC,2247,DOPC CHOL
247,33.13742,376.6472,DOPC,2248,DOPC CHOL
248,474.55062999999996,58.20126,DOPC,2249,Ordered
249,199.06068,360.39948,DOPC,2250,DOPC CHOL
250,8.320068,37.4496,DOPC,2251,Ordered
251,209.92621,388.29984,DOPC,2252,DOPC CHOL
252,143.56863,90.1881,DOPC,2253,DOPC CHOL
253,16.398542000000003,38.989129999999996,DOPC,2254,Ordered
254,76.108246,523.20123,DOPC,2255,Ordered
255,42.810825,488.15353,DOPC,2256,Ordered
256,102.5896,286.80942000000005,DOPC,2257,DOPC CHOL
257,324.65256,332.7402,DOPC,2258,DOPC CHOL
258,204.75221000000002,205.92119,DOPC,2259,DOPC CHOL
259,224.91698,164.80112,DOPC,2260,Ordered
260,383.4537,276.39786000000004,DOPC,2261,DOPC CHOL
261,344.46716000000004,535.34625,DOPC,2262,DOPC CHOL
262,522.9739400000001,94.75205,DOPC,2263,Ordered
263,17.955921,186.58937,DOPC,2264,DOPC CHOL
264,316.6467,535.6265,DOPC,2265,DOPC CHOL
265,442.276,299.57645,DOPC,2266,DOPC CHOL
266,361.13452,475.8141,DOPC,2267,DOPC CHOL
267,343.3794,479.60913,DOPC,2268,Ordered
268,252.16475,134.52917,DOPC,2269,Ordered
269,4.103036,287.33133,DOPC,2270,DOPC CHOL
270,288.26984,491.25705,DOPC,2271,DOPC CHOL
271,256.30582000000004,28.094408,DOPC,2272,Ordered
272,512.8399,34.141037,DOPC,2273,DOPC CHOL
273,114.34738,24.720146,DOPC,2274,Ordered
274,322.05716,470.04135,DOPC,2275,DOPC CHOL
275,23.067455,307.0171,DOPC,2276,DOPC CHOL
276,251.2381,418.1534,DOPC,2277,DOPC CHOL
277,156.16083,289.90485,DOPC,2278,DOPC CHOL
278,259.83746,333.70673,DOPC,2279,DOPC CHOL
279,92.51361999999999,18.493389999999998,DOPC,2280,Ordered
280,511.2741,204.2443,DOPC,2281,DOPC CHOL
281,148.86061,10.406885,DOPC,2282,Ordered
282,292.95795,403.61017000000004,DOPC,2283,DOPC CHOL
283,516.953,437.07867000000005,DOPC,2284,DOPC CHOL
284,458.78235,297.09497000000005,DOPC,2285,DOPC CHOL
285,372.68674,150.62216,DOPC,2286,Ordered
286,58.36290699999999,385.52554,DOPC,2287,DOPC CHOL
