,X,Y,Lipid Type,resid,Order
22302,488.50003,1583.93,DPPC,44166,DPPC CHOL
22303,1161.9601,2136.3801,DPPC,44167,DPPC CHOL
22304,1040.37,2066.4402,DPPC,44168,DOPC CHOL
22305,819.15,1807.6201,DPPC,44169,DPPC CHOL
22306,1083.51,2248.2302,DPPC,44170,DOPC CHOL
22307,1041.18,2005.8601,DPPC,44171,DPPC CHOL
22308,798.72003,2227.34,DPPC,44172,DPPC CHOL
22309,727.86005,1814.3601,DPPC,44173,DPPC CHOL
22310,634.65,2230.72,DPPC,44174,DPPC CHOL
22311,755.5801,2196.55,DPPC,44175,DPPC CHOL
22312,794.72,2271.2002,DPPC,44176,DOPC CHOL
22313,563.89,1665.0201,DPPC,44177,DOPC CHOL
22314,727.11005,1798.65,DPPC,44178,DOPC CHOL
22315,944.3200699999999,1951.8701,DPPC,44179,DOPC CHOL
22316,1033.76,2233.84,DPPC,44180,DPPC CHOL
22317,1040.54,1910.65,DPPC,44181,DPPC CHOL
22318,710.24,1622.0201,DPPC,44182,DPPC CHOL
22319,1188.53,1707.8201,DPPC,44183,DPPC CHOL
22320,1251.1101,129.39001000000002,DPPC,44928,DOPC CHOL
22321,1154.4401,448.64,DPPC,44929,DPPC CHOL
22322,1611.0101,170.18001999999998,DPPC,44930,DOPC CHOL
22323,1120.0001,508.81,DPPC,44931,DPPC CHOL
22324,1639.7301,488.39,DPPC,44932,DPPC CHOL
22325,1178.5901,490.26,DPPC,44933,DOPC CHOL
22326,1579.98,11.680000999999999,DPPC,44934,DPPC CHOL
22327,1352.4,586.95,DPPC,44935,DPPC CHOL
22328,1414.2401,439.76,DPPC,44936,DPPC CHOL
22329,1675.76,207.53,DPPC,44937,DOPC CHOL
22330,1371.4402,334.76,DPPC,44938,DPPC CHOL
22331,1402.3601,332.80002,DPPC,44939,DPPC CHOL
22332,1346.81,328.59002999999996,DPPC,44940,DOPC CHOL
22333,1723.8301,569.69,DPPC,44941,DOPC CHOL
22334,1355.06,468.37003,DPPC,44942,DPPC CHOL
22335,1441.8501,553.6700400000001,DPPC,44943,DPPC CHOL
22336,1401.36,498.89005,DPPC,44944,DPPC CHOL
22337,1532.29,2254.6602,DPPC,44945,DOPC CHOL
22338,1196.18,564.74005,DPPC,44946,DPPC CHOL
22339,1236.8401,309.24002,DPPC,44947,DPPC CHOL
22340,1319.79,92.03,DPPC,44948,DOPC CHOL
22341,1329.0701,512.65,DPPC,44949,DPPC CHOL
22342,1308.8501,2260.2102,DPPC,44950,DPPC CHOL
22343,1688.1401,446.71002000000004,DPPC,44951,DPPC CHOL
22344,1674.0801,6.78,DPPC,44952,DOPC CHOL
22345,1739.9302,239.71,DPPC,44953,DPPC CHOL
22346,1238.9601,343.02002000000005,DPPC,44954,DPPC CHOL
22347,1260.0001,259.80002,DPPC,44955,DPPC CHOL
22348,1318.4401,259.57,DPPC,44956,DPPC CHOL
22349,1415.95,136.94,DPPC,44957,DPPC CHOL
